region,age_group,coverage_rate,report_date,gender
West,0-5 years,71.34,2023-06-05,Male
Centre,13-17 years,96.89,2023-04-08,Male
Centre,6-12 years,78.31,2023-04-20,Male
East,6-12 years,56.02,2023-06-13,Male
West,0-5 years,81.35,2023-08-10,Female
East,13-17 years,94.2,2023-04-06,Female
East,18+ years,64.69,2023-12-29,Male
North,6-12 years,68.86,2023-05-13,Male
North,0-5 years,89.19,2023-01-18,Male
North,18+ years,86.98,2023-04-03,Male
Centre,13-17 years,97.64,2023-11-25,Female
East,0-5 years,66.33,2023-03-14,Female
East,13-17 years,64.09,2023-01-27,Male
North,18+ years,88.68,2023-10-19,Female
East,0-5 years,60.04,2023-05-01,Female
Centre,13-17 years,75.36,2023-07-10,Female
North,0-5 years,63.44,2023-09-07,Female
East,13-17 years,77.99,2023-06-02,Female
Centre,0-5 years,56.35,2023-06-24,Male
East,18+ years,73.35,2023-10-23,Male
North,13-17 years,50.18,2023-12-07,Male
North,6-12 years,71.48,2023-08-29,Female
South,13-17 years,52.9,2023-06-08,Male
East,6-12 years,52.37,2023-11-27,Male
North,13-17 years,92.75,2023-01-01,Female
South,13-17 years,91.53,2023-07-16,Female
North,0-5 years,62.09,2023-03-10,Female
South,6-12 years,85.51,2023-08-29,Female
Centre,18+ years,78.08,2023-02-23,Female
South,18+ years,64.14,2023-10-23,Female
West,0-5 years,68.25,2023-10-26,Male
North,6-12 years,60.16,2023-12-04,Male
South,0-5 years,53.59,2023-12-31,Female
East,18+ years,54.62,2023-12-19,Male
Centre,0-5 years,50.12,2023-02-15,Male
Centre,13-17 years,81.22,2023-12-17,Male
East,6-12 years,61.36,2023-05-13,Male
West,0-5 years,74.75,2023-11-08,Female
West,18+ years,63.84,2023-07-03,Male
Centre,18+ years,64.41,2023-07-17,Female
North,0-5 years,84.96,2023-08-12,Female
Centre,13-17 years,69.08,2023-12-12,Female
West,13-17 years,78.37,2023-07-11,Female
East,13-17 years,78.87,2023-05-23,Female
Centre,0-5 years,83.36,2023-01-17,Female
North,13-17 years,98.75,2023-06-06,Male
West,6-12 years,99.63,2023-03-09,Male
South,13-17 years,70.07,2023-05-13,Female
North,13-17 years,58.33,2023-04-07,Male
West,0-5 years,75.7,2023-06-07,Female
Centre,0-5 years,85.8,2023-05-22,Female
Centre,13-17 years,55.76,2023-12-22,Male
North,6-12 years,77.34,2023-12-19,Male
South,0-5 years,51.73,2023-07-25,Female
East,18+ years,56.58,2023-03-23,Male
North,0-5 years,66.66,2023-07-19,Male
South,6-12 years,99.07,2023-02-26,Male
West,18+ years,82.93,2023-03-25,Male
South,6-12 years,97.35,2023-05-19,Male
Centre,18+ years,50.27,2023-05-10,Male
North,18+ years,99.43,2023-06-30,Female
North,6-12 years,90.91,2023-05-12,Female
South,0-5 years,80.11,2023-10-07,Female
East,18+ years,92.06,2023-10-22,Male
Centre,6-12 years,84.48,2023-10-07,Female
East,6-12 years,55.87,2023-03-08,Male
East,6-12 years,96.88,2023-04-10,Female
East,0-5 years,82.76,2023-03-01,Male
East,6-12 years,94.82,2023-11-01,Female
Centre,0-5 years,67.5,2023-04-22,Female
East,0-5 years,57.21,2023-12-13,Female
North,13-17 years,95.04,2023-09-09,Female
West,18+ years,92.9,2023-05-11,Female
West,18+ years,69.45,2023-11-22,Female
East,18+ years,96.35,2023-05-21,Female
Centre,0-5 years,94.17,2023-05-08,Female
South,0-5 years,55.83,2023-06-18,Male
West,6-12 years,97.32,2023-02-23,Male
Centre,13-17 years,92.98,2023-08-02,Male
West,13-17 years,98.61,2023-10-23,Female
Centre,0-5 years,79.86,2023-10-21,Female
South,0-5 years,76.12,2023-05-22,Female
South,13-17 years,51.78,2023-05-01,Male
East,6-12 years,90.16,2023-03-15,Male
South,6-12 years,74.6,2023-04-30,Female
East,0-5 years,72.15,2023-01-04,Male
North,18+ years,97.99,2023-06-06,Male
East,6-12 years,72.37,2023-09-01,Male
Centre,6-12 years,88.8,2023-05-20,Male
East,6-12 years,63.46,2023-10-14,Female
Centre,6-12 years,78.14,2023-12-22,Male
Centre,13-17 years,64.53,2023-02-12,Male
South,0-5 years,64.62,2023-07-19,Female
Centre,13-17 years,50.65,2023-11-14,Female
North,0-5 years,74.61,2023-02-26,Female
North,18+ years,83.06,2023-02-21,Female
South,6-12 years,82.87,2023-10-14,Female
East,18+ years,79.95,2023-12-02,Male
South,13-17 years,65.86,2023-06-29,Female
West,0-5 years,58.98,2023-03-16,Female
East,13-17 years,62.41,2023-11-19,Male
North,13-17 years,52.35,2023-11-08,Male
South,13-17 years,95.9,2023-03-26,Male
Centre,6-12 years,88.59,2023-09-09,Male
North,18+ years,74.78,2023-07-23,Male
South,13-17 years,70.26,2023-10-20,Female
South,18+ years,95.27,2023-02-05,Female
East,18+ years,78.1,2023-01-29,Male
Centre,0-5 years,94.33,2023-01-17,Male
West,18+ years,69.18,2023-10-15,Male
West,18+ years,94.99,2023-11-23,Female
East,13-17 years,53.86,2023-04-08,Male
South,6-12 years,94.3,2023-09-15,Female
Centre,6-12 years,82.79,2023-08-17,Female
East,13-17 years,60.76,2023-08-20,Male
West,18+ years,71.35,2023-01-31,Female
West,13-17 years,64.57,2023-09-18,Male
East,18+ years,94.74,2023-03-04,Male
East,6-12 years,61.27,2023-09-01,Female
North,0-5 years,77.03,2023-05-09,Female
North,6-12 years,74.91,2023-08-16,Male
Centre,13-17 years,92.45,2023-04-15,Female
Centre,0-5 years,50.75,2023-06-09,Male
South,6-12 years,67.34,2023-11-14,Female
Centre,0-5 years,80.49,2023-03-07,Male
East,6-12 years,64.78,2023-11-27,Female
Centre,0-5 years,92.41,2023-11-17,Male
Centre,13-17 years,90.81,2023-06-02,Male
Centre,6-12 years,74.59,2023-09-03,Male
South,13-17 years,66.31,2023-03-23,Female
North,6-12 years,90.37,2023-02-28,Female
East,0-5 years,53.28,2023-12-31,Female
North,18+ years,78.57,2023-03-25,Female
Centre,18+ years,79.03,2023-08-15,Female
North,13-17 years,83.39,2023-03-10,Male
West,6-12 years,76.65,2023-04-07,Female
West,6-12 years,68.58,2023-03-28,Male
West,18+ years,96.08,2023-09-19,Male
East,18+ years,59.68,2023-09-10,Male
East,0-5 years,67.57,2023-07-15,Female
Centre,13-17 years,99.39,2023-02-27,Male
North,18+ years,77.52,2023-01-01,Female
North,6-12 years,51.44,2023-02-21,Female
South,6-12 years,58.75,2023-03-28,Female
North,18+ years,75.93,2023-02-07,Female
Centre,18+ years,81.7,2023-08-18,Female
West,18+ years,50.36,2023-01-21,Female
Centre,0-5 years,85.15,2023-12-16,Male
East,0-5 years,51.53,2023-03-21,Female
South,13-17 years,83.05,2023-08-03,Female
East,13-17 years,86.61,2023-06-04,Female
Centre,0-5 years,86.24,2023-08-14,Female
West,0-5 years,64.33,2023-12-19,Male
South,6-12 years,54.12,2023-08-03,Female
Centre,13-17 years,68.47,2023-06-20,Male
South,6-12 years,73.48,2023-01-30,Female
North,13-17 years,79.53,2023-09-22,Female
South,6-12 years,81.56,2023-01-05,Female
West,18+ years,85.66,2023-07-11,Female
South,13-17 years,74.49,2023-08-23,Female
East,18+ years,98.84,2023-02-26,Female
East,13-17 years,75.81,2023-10-20,Male
Centre,18+ years,85.8,2023-08-31,Male
Centre,0-5 years,97.91,2023-03-02,Female
Centre,18+ years,63.96,2023-06-04,Male
West,18+ years,69.35,2023-02-06,Female
West,18+ years,76.03,2023-10-06,Female
South,6-12 years,61.69,2023-07-11,Male
West,0-5 years,82.89,2023-12-17,Male
East,6-12 years,61.71,2023-01-16,Female
East,6-12 years,62.55,2023-09-24,Male
East,13-17 years,82.38,2023-05-12,Female
West,18+ years,82.13,2023-09-30,Male
West,0-5 years,71.83,2023-06-21,Male
West,6-12 years,94.71,2023-07-13,Female
West,6-12 years,87.06,2023-09-14,Female
East,18+ years,53.15,2023-10-30,Male
Centre,0-5 years,76.25,2023-04-01,Female
Centre,13-17 years,51.56,2023-05-02,Female
East,0-5 years,78.34,2023-04-05,Female
North,6-12 years,53.39,2023-05-16,Male
Centre,18+ years,50.23,2023-01-01,Female
South,18+ years,80.49,2023-04-24,Male
East,0-5 years,79.11,2023-08-29,Male
North,0-5 years,69.89,2023-05-27,Female
West,13-17 years,62.53,2023-07-21,Female
Centre,18+ years,69.93,2023-11-19,Male
West,6-12 years,56.32,2023-01-05,Male
Centre,13-17 years,81.69,2023-07-21,Male
Centre,6-12 years,60.43,2023-10-14,Male
North,13-17 years,97.3,2023-02-07,Female
North,18+ years,99.07,2023-12-10,Male
West,18+ years,97.68,2023-09-05,Male
East,18+ years,97.81,2023-07-15,Female
North,0-5 years,76.53,2023-10-16,Male
North,6-12 years,85.99,2023-09-24,Female
West,18+ years,85.72,2023-06-15,Male
Centre,0-5 years,50.29,2023-10-05,Male
East,6-12 years,59.12,2023-11-22,Female
West,6-12 years,95.09,2023-03-27,Female
East,13-17 years,55.54,2023-09-03,Male
Centre,13-17 years,76.57,2023-01-27,Female
Centre,18+ years,75.01,2023-01-18,Male
East,0-5 years,65.45,2023-12-10,Male
West,0-5 years,80.45,2023-06-27,Female
North,6-12 years,98.24,2023-02-26,Female
West,18+ years,78.68,2023-08-06,Male
Centre,0-5 years,98.47,2023-11-16,Female
East,6-12 years,79.0,2023-11-19,Female
North,6-12 years,99.59,2023-07-05,Male
North,0-5 years,56.87,2023-03-03,Male
North,18+ years,59.4,2023-05-08,Female
South,6-12 years,57.43,2023-04-04,Female
Centre,13-17 years,86.72,2023-01-20,Male
South,13-17 years,85.64,2023-03-04,Female
North,6-12 years,74.73,2023-12-24,Male
East,13-17 years,72.44,2023-03-04,Female
South,18+ years,77.6,2023-02-22,Male
South,18+ years,53.38,2023-04-03,Male
South,18+ years,64.1,2023-10-20,Female
East,13-17 years,76.18,2023-07-02,Female
South,18+ years,77.23,2023-06-26,Female
Centre,0-5 years,59.42,2023-12-08,Male
North,6-12 years,93.26,2023-08-20,Female
Centre,6-12 years,60.48,2023-06-27,Male
West,0-5 years,73.91,2023-12-22,Female
South,18+ years,50.03,2023-02-04,Male
Centre,18+ years,57.66,2023-02-23,Female
East,0-5 years,86.96,2023-08-05,Female
East,0-5 years,67.49,2023-01-17,Female
Centre,18+ years,75.33,2023-01-07,Male
South,0-5 years,95.08,2023-05-26,Male
North,0-5 years,69.26,2023-06-14,Male
North,0-5 years,60.85,2023-05-03,Female
South,6-12 years,78.23,2023-03-25,Male
South,18+ years,54.32,2023-09-26,Male
East,6-12 years,97.74,2023-09-26,Male
East,13-17 years,89.41,2023-04-12,Male
Centre,6-12 years,56.46,2023-01-07,Male
West,0-5 years,89.43,2023-09-27,Male
South,18+ years,73.97,2023-01-02,Female
East,0-5 years,74.83,2023-08-30,Female
South,13-17 years,77.04,2023-04-03,Female
West,6-12 years,76.6,2023-09-04,Female
South,6-12 years,72.65,2023-05-13,Female
West,13-17 years,65.71,2023-10-22,Female
East,6-12 years,79.19,2023-10-20,Male
West,0-5 years,97.65,2023-10-17,Female
South,18+ years,67.29,2023-07-08,Female
West,0-5 years,59.99,2023-11-27,Male
South,13-17 years,92.08,2023-08-26,Male
South,6-12 years,87.94,2023-03-25,Female
South,18+ years,72.7,2023-12-31,Female
South,0-5 years,64.92,2023-11-10,Male
East,0-5 years,76.31,2023-12-17,Female
West,0-5 years,78.2,2023-04-10,Female
South,6-12 years,59.97,2023-12-02,Male
North,6-12 years,94.6,2023-04-19,Male
North,13-17 years,94.64,2023-08-23,Female
East,6-12 years,85.49,2023-03-23,Female
Centre,18+ years,94.28,2023-06-12,Male
West,13-17 years,87.61,2023-11-18,Female
East,13-17 years,84.42,2023-07-20,Female
South,13-17 years,78.52,2023-02-05,Female
South,13-17 years,81.42,2023-04-01,Male
North,18+ years,60.17,2023-12-17,Female
North,6-12 years,87.84,2023-03-19,Male
West,0-5 years,53.19,2023-10-28,Female
East,18+ years,59.46,2023-11-30,Male
West,6-12 years,96.75,2023-07-11,Female
East,6-12 years,73.67,2023-06-13,Female
North,6-12 years,55.85,2023-11-06,Female
South,13-17 years,67.43,2023-08-27,Female
North,6-12 years,85.63,2023-12-29,Male
South,6-12 years,56.9,2023-10-04,Male
West,6-12 years,98.12,2023-09-21,Male
North,18+ years,76.64,2023-06-22,Female
North,18+ years,70.4,2023-10-18,Male
West,13-17 years,72.25,2023-08-16,Female
North,6-12 years,60.84,2023-02-17,Female
North,6-12 years,69.36,2023-04-20,Female
North,18+ years,95.22,2023-01-15,Male
Centre,0-5 years,97.45,2023-03-11,Female
South,13-17 years,63.33,2023-02-07,Female
South,6-12 years,85.34,2023-05-21,Male
East,0-5 years,67.79,2023-01-25,Female
South,0-5 years,94.69,2023-09-29,Female
East,13-17 years,64.83,2023-06-14,Female
West,13-17 years,96.9,2023-10-21,Male
North,0-5 years,96.54,2023-05-20,Female
South,18+ years,57.85,2023-09-05,Male
South,18+ years,73.36,2023-02-08,Male
West,6-12 years,73.69,2023-08-12,Female
Centre,13-17 years,78.8,2023-10-20,Female
Centre,6-12 years,89.08,2023-05-16,Male
East,13-17 years,61.23,2023-04-17,Female
North,18+ years,73.02,2023-05-25,Male
East,13-17 years,51.5,2023-02-11,Male
West,18+ years,90.04,2023-05-02,Male
North,18+ years,87.55,2023-06-03,Female
North,13-17 years,58.94,2023-05-23,Female
North,6-12 years,79.85,2023-11-04,Male
North,0-5 years,59.09,2023-04-07,Male
North,0-5 years,72.32,2023-10-19,Male
East,0-5 years,64.94,2023-05-28,Male
North,18+ years,66.81,2023-11-22,Female
South,13-17 years,79.61,2023-07-26,Male
West,18+ years,75.04,2023-11-16,Male
North,6-12 years,81.98,2023-05-22,Female
South,18+ years,89.87,2023-04-23,Female
East,6-12 years,53.93,2023-12-28,Male
North,0-5 years,96.81,2023-06-23,Female
North,0-5 years,76.62,2023-10-29,Male
Centre,13-17 years,62.28,2023-09-23,Male
Centre,13-17 years,52.61,2023-08-31,Male
Centre,6-12 years,66.73,2023-05-26,Male
East,6-12 years,80.96,2023-04-08,Female
Centre,18+ years,65.67,2023-08-05,Male
North,18+ years,91.77,2023-04-19,Male
East,0-5 years,67.36,2023-02-22,Male
West,18+ years,96.34,2023-08-08,Male
North,0-5 years,56.22,2023-04-28,Male
North,18+ years,89.56,2023-12-23,Male
Centre,13-17 years,61.45,2023-11-22,Male
South,6-12 years,92.07,2023-06-20,Male
West,0-5 years,89.74,2023-09-11,Male
Centre,18+ years,54.82,2023-09-24,Male
South,18+ years,84.89,2023-09-02,Male
South,13-17 years,98.76,2023-01-09,Female
West,18+ years,69.07,2023-08-20,Male
East,18+ years,87.32,2023-08-01,Male
Centre,13-17 years,76.75,2023-02-28,Female
Centre,0-5 years,52.54,2023-02-01,Female
Centre,13-17 years,81.33,2023-07-01,Female
Centre,13-17 years,99.41,2023-05-21,Female
South,0-5 years,67.74,2023-06-21,Male
South,6-12 years,50.55,2023-06-26,Female
Centre,6-12 years,92.7,2023-07-27,Male
Centre,13-17 years,95.29,2023-03-31,Female
South,6-12 years,51.96,2023-11-01,Male
East,0-5 years,69.72,2023-03-06,Female
North,0-5 years,79.35,2023-04-25,Male
North,0-5 years,84.22,2023-07-26,Male
South,18+ years,61.04,2023-11-18,Female
East,6-12 years,72.72,2023-10-09,Female
South,0-5 years,82.27,2023-09-16,Female
North,13-17 years,94.83,2023-10-18,Female
West,18+ years,73.7,2023-09-12,Male
South,13-17 years,77.41,2023-02-14,Male
South,6-12 years,92.11,2023-04-24,Male
Centre,6-12 years,72.93,2023-09-18,Male
West,0-5 years,60.79,2023-02-09,Female
North,18+ years,71.04,2023-01-02,Male
West,6-12 years,90.48,2023-08-05,Female
Centre,0-5 years,88.52,2023-10-01,Female
East,6-12 years,68.26,2023-02-05,Female
North,13-17 years,58.92,2023-09-23,Male
South,13-17 years,81.53,2023-05-19,Male
Centre,18+ years,87.52,2023-03-29,Female
West,0-5 years,69.45,2023-11-22,Male
North,18+ years,77.14,2023-12-22,Female
North,18+ years,87.77,2023-02-06,Male
West,0-5 years,85.41,2023-04-05,Male
East,18+ years,81.63,2023-06-17,Male
West,0-5 years,97.12,2023-11-12,Female
East,0-5 years,91.2,2023-11-04,Male
East,6-12 years,83.67,2023-04-06,Male
North,13-17 years,68.99,2023-01-31,Male
Centre,0-5 years,72.06,2023-08-02,Female
West,0-5 years,99.28,2023-02-11,Male
Centre,0-5 years,97.7,2023-09-13,Male
South,18+ years,64.16,2023-11-17,Male
West,13-17 years,80.56,2023-01-17,Male
West,6-12 years,98.17,2023-09-25,Female
South,0-5 years,95.55,2023-05-02,Male
South,18+ years,50.4,2023-07-16,Male
Centre,6-12 years,53.59,2023-09-13,Male
East,18+ years,94.83,2023-12-15,Female
North,6-12 years,79.6,2023-08-06,Female
North,18+ years,71.6,2023-04-18,Female
North,18+ years,81.08,2023-05-19,Male
East,6-12 years,87.69,2023-05-24,Male
East,0-5 years,78.83,2023-02-23,Male
East,18+ years,65.33,2023-09-26,Female
South,0-5 years,61.88,2023-03-02,Male
East,18+ years,65.48,2023-02-17,Female
West,6-12 years,81.24,2023-12-01,Male
North,6-12 years,52.24,2023-11-03,Female
Centre,6-12 years,91.1,2023-12-31,Male
Centre,0-5 years,99.9,2023-01-28,Female
Centre,0-5 years,60.39,2023-12-30,Female
South,6-12 years,97.35,2023-12-29,Female
West,18+ years,83.74,2023-12-17,Female
South,13-17 years,89.02,2023-02-06,Male
South,0-5 years,86.62,2023-09-30,Female
East,0-5 years,57.68,2023-01-06,Male
West,0-5 years,76.29,2023-09-19,Male
South,18+ years,82.09,2023-11-12,Female
East,18+ years,75.54,2023-07-13,Male
East,6-12 years,51.86,2023-07-02,Female
Centre,18+ years,78.16,2023-11-12,Female
West,6-12 years,51.55,2023-08-24,Female
South,18+ years,51.39,2023-02-18,Male
Centre,18+ years,80.9,2023-11-17,Male
Centre,0-5 years,58.12,2023-10-07,Female
East,13-17 years,84.16,2023-09-08,Male
East,18+ years,71.75,2023-04-13,Female
West,6-12 years,87.29,2023-01-07,Male
West,13-17 years,93.79,2023-10-31,Female
East,6-12 years,84.39,2023-03-24,Male
East,0-5 years,85.14,2023-05-24,Male
North,13-17 years,51.35,2023-11-30,Male
South,0-5 years,81.98,2023-01-04,Female
Centre,18+ years,76.5,2023-08-29,Female
North,13-17 years,88.96,2023-05-12,Male
South,18+ years,94.19,2023-12-26,Female
South,6-12 years,54.07,2023-10-05,Female
East,0-5 years,66.42,2023-06-01,Female
North,6-12 years,62.0,2023-05-26,Female
East,0-5 years,72.77,2023-01-02,Female
North,6-12 years,62.97,2023-03-06,Male
East,0-5 years,53.42,2023-05-11,Female
North,18+ years,93.9,2023-10-05,Male
Centre,13-17 years,68.09,2023-11-16,Female
South,6-12 years,60.34,2023-03-08,Female
South,6-12 years,83.58,2023-08-06,Female
North,6-12 years,63.02,2023-04-30,Male
West,0-5 years,65.63,2023-09-15,Male
Centre,13-17 years,61.66,2023-11-21,Female
East,13-17 years,51.36,2023-02-09,Male
South,6-12 years,77.82,2023-06-13,Male
West,6-12 years,63.56,2023-08-10,Male
South,13-17 years,59.73,2023-01-16,Male
North,13-17 years,58.92,2023-06-16,Male
South,6-12 years,56.23,2023-06-18,Female
South,18+ years,63.14,2023-08-09,Male
West,18+ years,54.55,2023-01-04,Male
North,6-12 years,69.18,2023-04-03,Female
East,0-5 years,69.08,2023-07-25,Male
East,6-12 years,89.37,2023-06-29,Female
Centre,6-12 years,79.86,2023-01-27,Female
West,0-5 years,65.69,2023-10-02,Female
North,0-5 years,92.97,2023-06-19,Female
Centre,6-12 years,63.65,2023-09-24,Male
West,6-12 years,79.46,2023-09-24,Male
North,18+ years,75.02,2023-10-02,Male
West,13-17 years,53.73,2023-09-13,Female
Centre,0-5 years,61.31,2023-05-20,Female
West,13-17 years,50.82,2023-12-13,Male
East,18+ years,60.53,2023-12-30,Female
East,13-17 years,77.51,2023-08-05,Male
East,0-5 years,82.06,2023-11-26,Male
Centre,13-17 years,97.27,2023-06-04,Female
Centre,6-12 years,74.4,2023-09-20,Male
Centre,6-12 years,73.38,2023-12-02,Female
West,13-17 years,78.66,2023-12-19,Female
South,13-17 years,58.86,2023-08-15,Male
South,6-12 years,81.1,2023-10-09,Male
Centre,13-17 years,72.38,2023-01-31,Female
South,0-5 years,55.45,2023-02-10,Female
West,0-5 years,88.09,2023-04-18,Female
West,13-17 years,90.15,2023-04-25,Female
East,0-5 years,77.53,2023-09-07,Female
West,0-5 years,68.27,2023-11-29,Male
Centre,6-12 years,52.15,2023-10-23,Male
South,6-12 years,55.79,2023-01-28,Male
South,0-5 years,88.73,2023-02-17,Female
West,6-12 years,92.86,2023-04-21,Male
West,13-17 years,57.54,2023-08-25,Female
Centre,6-12 years,51.54,2023-06-13,Female
Centre,18+ years,54.21,2023-09-13,Female
West,18+ years,85.0,2023-03-20,Female
North,0-5 years,94.34,2023-05-10,Male
Centre,13-17 years,72.8,2023-02-15,Male
East,18+ years,64.17,2023-09-28,Male
West,0-5 years,83.83,2023-09-11,Female
West,0-5 years,91.3,2023-04-24,Male
West,0-5 years,51.86,2023-05-30,Female
South,13-17 years,73.92,2023-11-20,Male
West,13-17 years,74.28,2023-06-05,Male
West,13-17 years,90.18,2023-02-20,Male
West,0-5 years,93.66,2023-09-12,Male
South,0-5 years,55.78,2023-06-02,Male
East,13-17 years,89.0,2023-10-13,Male
North,13-17 years,55.6,2023-06-23,Male
Centre,0-5 years,59.28,2023-11-21,Female
West,0-5 years,62.87,2023-08-18,Female
North,13-17 years,89.63,2023-01-25,Female
West,0-5 years,54.74,2023-12-12,Male
South,6-12 years,90.75,2023-01-01,Male
East,18+ years,74.84,2023-05-03,Male
West,6-12 years,93.05,2023-01-15,Male
East,18+ years,94.61,2023-01-16,Female
East,0-5 years,99.03,2023-10-07,Male
Centre,18+ years,65.54,2023-04-17,Male
South,18+ years,60.76,2023-07-09,Male
East,18+ years,90.07,2023-02-16,Female
East,0-5 years,75.66,2023-10-30,Female
South,0-5 years,94.03,2023-08-07,Male
South,0-5 years,58.41,2023-09-21,Male
Centre,13-17 years,73.59,2023-04-30,Male
South,13-17 years,92.5,2023-05-11,Male
Centre,18+ years,85.7,2023-04-11,Male
North,13-17 years,59.23,2023-01-16,Female
North,18+ years,93.94,2023-06-04,Male
West,0-5 years,51.91,2023-04-09,Male
South,0-5 years,76.08,2023-11-03,Male
West,6-12 years,85.65,2023-07-04,Male
North,6-12 years,86.26,2023-10-23,Female
North,13-17 years,77.29,2023-12-27,Female
South,18+ years,85.07,2023-03-16,Male
Centre,13-17 years,58.16,2023-01-14,Male
South,0-5 years,86.51,2023-05-04,Male
South,0-5 years,99.75,2023-10-22,Male
West,13-17 years,93.08,2023-09-03,Female
West,18+ years,68.31,2023-11-25,Female
East,6-12 years,82.16,2023-06-11,Male
North,13-17 years,83.22,2023-11-29,Male
South,18+ years,97.76,2023-12-31,Male
Centre,13-17 years,62.25,2023-09-13,Male
Centre,13-17 years,77.11,2023-06-27,Male
East,13-17 years,64.07,2023-05-17,Male
South,18+ years,84.74,2023-12-14,Male
North,0-5 years,70.6,2023-11-14,Male
West,18+ years,73.56,2023-12-24,Female
West,13-17 years,90.6,2023-10-22,Female
South,13-17 years,60.81,2023-10-04,Female
Centre,0-5 years,86.72,2023-05-25,Female
West,18+ years,62.89,2023-06-22,Male
East,6-12 years,60.86,2023-09-25,Female
North,6-12 years,70.86,2023-12-06,Female
East,13-17 years,79.24,2023-01-10,Male
South,6-12 years,80.46,2023-03-14,Male
South,0-5 years,76.99,2023-12-11,Female
East,0-5 years,52.09,2023-10-17,Female
North,6-12 years,58.09,2023-09-25,Female
South,0-5 years,87.65,2023-03-24,Female
West,6-12 years,68.51,2023-01-05,Female
Centre,13-17 years,76.61,2023-06-05,Female
Centre,13-17 years,94.11,2023-08-27,Male
Centre,18+ years,63.69,2023-05-01,Male
West,13-17 years,62.27,2023-12-16,Male
East,13-17 years,77.0,2023-10-18,Female
South,6-12 years,99.5,2023-09-08,Male
Centre,0-5 years,63.86,2023-06-21,Female
South,13-17 years,83.3,2023-12-08,Female
North,13-17 years,99.86,2023-10-14,Male
Centre,18+ years,79.98,2023-05-07,Male
North,6-12 years,68.28,2023-11-27,Female
West,18+ years,63.88,2023-06-29,Male
East,18+ years,89.09,2023-07-28,Male
East,18+ years,57.54,2023-11-07,Female
Centre,6-12 years,79.94,2023-11-19,Female
West,0-5 years,65.96,2023-11-17,Female
Centre,13-17 years,85.07,2023-01-23,Male
South,6-12 years,80.09,2023-05-24,Female
Centre,18+ years,59.1,2023-06-16,Male
South,0-5 years,85.34,2023-12-31,Male
Centre,13-17 years,91.4,2023-01-08,Male
South,0-5 years,64.92,2023-05-21,Female
West,18+ years,64.5,2023-08-16,Female
North,0-5 years,96.52,2023-03-25,Female
East,18+ years,59.7,2023-11-21,Female
Centre,0-5 years,82.77,2023-08-05,Female
West,0-5 years,91.68,2023-01-02,Female
Centre,13-17 years,67.35,2023-11-21,Male
Centre,13-17 years,86.27,2023-03-04,Female
East,18+ years,62.26,2023-12-30,Male
North,18+ years,52.9,2023-11-14,Male
East,0-5 years,64.45,2023-04-21,Male
South,18+ years,65.42,2023-01-08,Male
South,13-17 years,84.56,2023-06-24,Male
West,18+ years,72.07,2023-09-30,Female
Centre,0-5 years,76.97,2023-09-29,Male
South,18+ years,69.63,2023-02-09,Female
North,13-17 years,98.4,2023-03-27,Female
North,0-5 years,57.94,2023-04-12,Female
South,13-17 years,90.17,2023-05-17,Male
West,13-17 years,91.03,2023-06-17,Male
Centre,6-12 years,63.24,2023-05-23,Female
West,0-5 years,53.68,2023-07-31,Male
Centre,6-12 years,72.14,2023-11-15,Male
South,18+ years,87.54,2023-04-11,Male
West,18+ years,63.19,2023-08-30,Female
North,18+ years,54.84,2023-03-03,Male
East,18+ years,70.37,2023-03-15,Female
East,0-5 years,58.8,2023-03-18,Female
Centre,6-12 years,96.63,2023-01-09,Female
North,18+ years,94.08,2023-03-09,Male
Centre,6-12 years,54.34,2023-09-01,Male
East,6-12 years,65.09,2023-10-13,Female
East,13-17 years,64.14,2023-06-12,Female
East,18+ years,98.31,2023-06-15,Male
North,13-17 years,76.19,2023-07-15,Female
West,0-5 years,85.05,2023-08-11,Male
West,13-17 years,89.66,2023-04-06,Female
North,18+ years,57.35,2023-05-26,Female
Centre,13-17 years,66.05,2023-10-03,Male
East,0-5 years,72.27,2023-04-26,Male
Centre,6-12 years,67.57,2023-10-13,Female
North,13-17 years,50.21,2023-09-19,Female
West,0-5 years,57.97,2023-05-27,Male
East,6-12 years,77.4,2023-09-22,Male
South,13-17 years,75.14,2023-02-17,Female
East,13-17 years,72.57,2023-02-24,Male
East,6-12 years,62.58,2023-03-27,Male
South,0-5 years,74.94,2023-02-28,Male
West,18+ years,72.41,2023-01-17,Male
East,6-12 years,60.91,2023-03-11,Male
West,6-12 years,56.09,2023-06-01,Female
North,6-12 years,90.17,2023-06-12,Male
North,6-12 years,84.99,2023-04-05,Female
North,0-5 years,60.17,2023-01-13,Male
South,0-5 years,51.96,2023-05-11,Male
Centre,6-12 years,78.54,2023-05-21,Female
Centre,6-12 years,97.93,2023-03-09,Male
West,18+ years,59.81,2023-09-01,Female
West,13-17 years,67.7,2023-04-09,Male
South,13-17 years,62.71,2023-01-21,Female
South,18+ years,66.87,2023-07-12,Female
North,0-5 years,53.7,2023-02-08,Male
North,18+ years,74.82,2023-12-20,Male
Centre,18+ years,75.69,2023-01-31,Female
West,6-12 years,73.77,2023-03-01,Male
North,6-12 years,66.37,2023-04-01,Female
South,13-17 years,66.36,2023-11-05,Male
South,13-17 years,79.55,2023-09-19,Female
South,0-5 years,74.68,2023-06-27,Male
South,13-17 years,59.86,2023-10-02,Male
East,6-12 years,81.64,2023-09-05,Male
